epoch,train_loss,val_loss,learning_rate,best_val_loss,epoch_time_s
1,0.06150209,0.06053293,1.00e-03,0.06053293,86.3
2,0.05898479,0.05873703,1.00e-03,0.05873703,82.4
3,0.05558593,0.05752625,1.00e-03,0.05752625,86.9
4,0.05085443,0.05732206,1.00e-03,0.05732206,85.9
5,0.04563771,0.05790887,5.00e-04,0.05732206,86.0
6,0.03803468,0.05969893,5.00e-04,0.05732206,84.1
7,0.03436978,0.06093911,5.00e-04,0.05732206,83.1
8,0.03199285,0.06263765,5.00e-04,0.05732206,84.0
9,0.03022922,0.06397078,5.00e-04,0.05732206,85.1
10,0.02882057,0.06475804,2.50e-04,0.05732206,83.1
11,0.02600310,0.06607866,2.50e-04,0.05732206,84.9
12,0.02467177,0.06726855,2.50e-04,0.05732206,90.9
