epoch,train_loss,val_loss,learning_rate,best_val_loss,epoch_time_s
1,0.06187029,0.06093360,1.00e-03,0.06093360,94.3
2,0.05952000,0.05926400,1.00e-03,0.05926400,83.4
3,0.05647006,0.05779592,1.00e-03,0.05779592,84.9
4,0.05215612,0.05746303,1.00e-03,0.05746303,87.2
5,0.04700680,0.05801069,5.00e-04,0.05746303,85.5
6,0.03906914,0.05988634,5.00e-04,0.05746303,86.6
7,0.03514519,0.06131968,5.00e-04,0.05746303,87.0
8,0.03256977,0.06306149,5.00e-04,0.05746303,93.0
9,0.03063977,0.06450229,5.00e-04,0.05746303,90.8
10,0.02911127,0.06539248,2.50e-04,0.05746303,94.4
11,0.02619975,0.06635982,2.50e-04,0.05746303,90.9
12,0.02484394,0.06754513,2.50e-04,0.05746303,86.8
13,0.02414996,0.06860868,2.50e-04,0.05746303,85.4
14,0.02363507,0.06922852,2.50e-04,0.05746303,86.5
15,0.02319385,0.06989515,1.25e-04,0.05746303,87.5
16,0.02193701,0.07043776,1.25e-04,0.05746303,86.6
17,0.02134717,0.07103994,1.25e-04,0.05746303,85.8
18,0.02105646,0.07164636,1.25e-04,0.05746303,87.0
19,0.02083012,0.07220737,1.25e-04,0.05746303,86.3
20,0.02063589,0.07272485,6.25e-05,0.05746303,89.8
