epoch,train_loss,val_loss,learning_rate,best_val_loss,epoch_time_s
1,0.05672497,0.05513449,1.00e-03,0.05513449,442.4
2,0.05347771,0.05449697,1.00e-03,0.05449697,439.4
3,0.05196703,0.05452884,1.00e-03,0.05449697,446.2
4,0.05069750,0.05484695,1.00e-03,0.05449697,444.1
5,0.04971812,0.05532337,1.00e-03,0.05449697,442.4
6,0.04885314,0.05589344,1.00e-03,0.05449697,442.9
7,0.04812171,0.05608606,1.00e-03,0.05449697,445.3
8,0.04751329,0.05681909,1.00e-03,0.05449697,443.7
9,0.04690492,0.05744570,1.00e-03,0.05449697,438.7
10,0.04643973,0.05738449,1.00e-03,0.05449697,443.1
11,0.04607070,0.05791351,1.00e-03,0.05449697,454.0
