epoch,train_loss,val_loss,learning_rate,best_val_loss,epoch_time_s
1,0.01960216,0.01803969,1.00e-03,0.01803969,444.5
2,0.01720665,0.01749248,9.89e-04,0.01749248,439.7
3,0.01658349,0.01728303,9.57e-04,0.01728303,437.5
4,0.01617183,0.01715316,9.05e-04,0.01715316,435.3
5,0.01587237,0.01710312,8.36e-04,0.01710312,438.6
6,0.01561697,0.01707104,7.52e-04,0.01707104,436.5
7,0.01539719,0.01705889,6.58e-04,0.01705889,438.6
8,0.01519957,0.01708755,5.57e-04,0.01705889,436.4
9,0.01501334,0.01705549,4.53e-04,0.01705549,435.2
10,0.01485170,0.01706448,3.52e-04,0.01705549,436.4
11,0.01471639,0.01709154,2.58e-04,0.01705549,435.9
12,0.01459024,0.01708395,1.74e-04,0.01705549,432.9
13,0.01449485,0.01711652,1.05e-04,0.01705549,436.4
14,0.01442291,0.01712302,5.28e-05,0.01705549,432.6
15,0.01437933,0.01713136,2.08e-05,0.01705549,434.6
