version,position,nps,knps,depth
v1,opening,260900,260,11
v1,midgame,83122,83,9
v1,kiwipete,110704,110,4
v1,endgame,237411,237,13
v2,opening,501508,501,11
v2,midgame,416020,416,8
v2,kiwipete,198635,198,6
v2,endgame,885429,885,18
v3,opening,506645,506,12
v3,midgame,408686,408,12
v3,kiwipete,105210,105,7
v3,endgame,570018,570,17
v4,opening,336548,336,20
v4,midgame,327670,327,19
v4,kiwipete,97633,97,14
v4,endgame,471777,471,23
722cfcc,opening,354300,354,19
722cfcc,midgame,296953,296,17
722cfcc,kiwipete,122856,122,16
722cfcc,endgame,522294,522,24
722cfcc,opening,335688,335,18
722cfcc,midgame,295417,295,17
722cfcc,kiwipete,120956,120,15
722cfcc,endgame,464149,464,24
722cfcc,opening,364896,364,18
722cfcc,midgame,294548,294,17
722cfcc,kiwipete,123098,123,16
722cfcc,endgame,464377,464,23
