search_time,position,depth
0.1,opening,5
0.1,midgame,4
0.1,kiwipete,2
0.1,endgame,8
0.2,opening,7
0.2,midgame,5
0.2,kiwipete,2
0.2,endgame,10
0.5,opening,7
0.5,midgame,8
0.5,kiwipete,2
0.5,endgame,12
1.0,opening,9
1.0,midgame,10
1.0,kiwipete,3
1.0,endgame,12
2.0,opening,11
2.0,midgame,12
2.0,kiwipete,6
2.0,endgame,12
3.0,opening,12
3.0,midgame,12
3.0,kiwipete,7
3.0,endgame,13
5.0,opening,13
5.0,midgame,12
5.0,kiwipete,7
5.0,endgame,15
7.0,opening,13
7.0,midgame,13
7.0,kiwipete,7
7.0,endgame,17
10.0,opening,15
10.0,midgame,13
10.0,kiwipete,7
10.0,endgame,15
