search_time,position,depth
0.1,opening,11
0.1,midgame,12
0.1,kiwipete,7
0.1,endgame,12
0.2,opening,13
0.2,midgame,12
0.2,kiwipete,10
0.2,endgame,14
0.5,opening,16
0.5,midgame,13
0.5,kiwipete,14
0.5,endgame,15
1.0,opening,17
1.0,midgame,14
1.0,kiwipete,14
1.0,endgame,18
2.0,opening,18
2.0,midgame,17
2.0,kiwipete,15
2.0,endgame,22
3.0,opening,19
3.0,midgame,17
3.0,kiwipete,17
3.0,endgame,24
5.0,opening,19
5.0,midgame,18
5.0,kiwipete,17
5.0,endgame,24
7.0,opening,20
7.0,midgame,18
7.0,kiwipete,18
7.0,endgame,26
10.0,opening,20
10.0,midgame,19
10.0,kiwipete,19
10.0,endgame,26
15.0,opening,21
15.0,midgame,20
15.0,kiwipete,20
15.0,endgame,29
20.0,opening,23
20.0,midgame,20
20.0,kiwipete,21
20.0,endgame,28
