game,white,result,score,running_wins,running_draws,running_losses,running_elo
1,New-5b04430,1-0,1.0,1,0,0,1199.8
2,Base-0d70501,0-1,1.0,2,0,0,1199.8
3,New-5b04430,1-0,1.0,3,0,0,1199.8
4,Base-0d70501,0-1,1.0,4,0,0,1199.8
5,New-5b04430,0-1,0.0,4,0,1,240.8
6,Base-0d70501,0-1,1.0,5,0,1,279.6
7,New-5b04430,1-0,1.0,6,0,1,311.3
8,Base-0d70501,0-1,1.0,7,0,1,338.0
9,New-5b04430,0-1,0.0,7,0,2,217.6
10,Base-0d70501,0-1,1.0,8,0,2,240.8
11,New-5b04430,1-0,1.0,9,0,2,261.3
12,Base-0d70501,0-1,1.0,10,0,2,279.6
13,New-5b04430,0-1,0.0,10,0,3,209.2
14,Base-0d70501,0-1,1.0,11,0,3,225.7
15,New-5b04430,1-0,1.0,12,0,3,240.8
16,Base-0d70501,0-1,1.0,13,0,3,254.7
17,New-5b04430,1-0,1.0,14,0,3,267.6
18,Base-0d70501,0-1,1.0,15,0,3,279.6
19,New-5b04430,1-0,1.0,16,0,3,290.8
