game,white,result,score,running_wins,running_draws,running_losses,running_elo
1,NNUE-3c5166f,1-0,1.0,1,0,0,1199.8
5,NNUE-3c5166f,1-0,1.0,2,0,0,1199.8
2,HCE-3c5166f,0-1,1.0,3,0,0,1199.8
3,NNUE-3c5166f,1-0,1.0,4,0,0,1199.8
4,HCE-3c5166f,0-1,1.0,5,0,0,1199.8
6,HCE-3c5166f,0-1,1.0,6,0,0,1199.8
7,NNUE-3c5166f,1-0,1.0,7,0,0,1199.8
8,HCE-3c5166f,0-1,1.0,8,0,0,1199.8
9,NNUE-3c5166f,1-0,1.0,9,0,0,1199.8
10,HCE-3c5166f,0-1,1.0,10,0,0,1199.8
13,NNUE-3c5166f,1-0,1.0,11,0,0,1199.8
11,NNUE-3c5166f,1-0,1.0,12,0,0,1199.8
14,HCE-3c5166f,0-1,1.0,13,0,0,1199.8
15,NNUE-3c5166f,1-0,1.0,14,0,0,1199.8
16,HCE-3c5166f,0-1,1.0,15,0,0,1199.8
12,HCE-3c5166f,0-1,1.0,16,0,0,1199.8
18,HCE-3c5166f,0-1,1.0,17,0,0,1199.8
21,NNUE-3c5166f,1-0,1.0,18,0,0,1199.8
20,HCE-3c5166f,0-1,1.0,19,0,0,1199.8
17,NNUE-3c5166f,1/2-1/2,0.5,19,1,0,636.4
23,NNUE-3c5166f,1-0,1.0,20,1,0,645.1
22,HCE-3c5166f,0-1,1.0,21,1,0,653.4
19,NNUE-3c5166f,1/2-1/2,0.5,21,2,0,537.0
24,HCE-3c5166f,1/2-1/2,0.5,21,3,0,470.4
25,NNUE-3c5166f,1-0,1.0,22,3,0,478.0
27,NNUE-3c5166f,1-0,1.0,23,3,0,485.2
29,NNUE-3c5166f,1-0,1.0,24,3,0,492.2
26,HCE-3c5166f,1/2-1/2,0.5,24,4,0,445.6
28,HCE-3c5166f,*,0.5,24,5,0,410.1
30,HCE-3c5166f,*,0.5,24,6,0,381.7
31,NNUE-3c5166f,*,0.5,24,7,0,358.1
