game,white,result,score,running_wins,running_draws,running_losses,running_elo
8,Base-41b4968,1/2-1/2,0.5,0,1,0,-0.0
1,New-8ad2008,1-0,1.0,1,1,0,190.8
5,New-8ad2008,1/2-1/2,0.5,1,2,0,120.4
3,New-8ad2008,1/2-1/2,0.5,1,3,0,88.7
2,Base-41b4968,1-0,0.0,1,3,1,-0.0
4,Base-41b4968,0-1,1.0,2,3,1,58.5
6,Base-41b4968,1/2-1/2,0.5,2,4,1,50.0
7,New-8ad2008,1/2-1/2,0.5,2,5,1,43.7
13,New-8ad2008,1-0,1.0,3,5,1,78.5
12,Base-41b4968,1/2-1/2,0.5,3,6,1,70.4
11,New-8ad2008,1/2-1/2,0.5,3,7,1,63.9
9,New-8ad2008,0-1,0.0,3,7,2,29.0
15,New-8ad2008,0-1,0.0,3,7,3,-0.0
10,Base-41b4968,1/2-1/2,0.5,3,8,3,-0.0
14,Base-41b4968,1/2-1/2,0.5,3,9,3,-0.0
16,Base-41b4968,1-0,0.0,3,9,4,-21.7
19,New-8ad2008,1/2-1/2,0.5,3,10,4,-20.5
20,Base-41b4968,1/2-1/2,0.5,3,11,4,-19.3
18,Base-41b4968,0-1,1.0,4,11,4,-0.0
21,New-8ad2008,0-1,0.0,4,11,5,-17.4
17,New-8ad2008,0-1,0.0,4,11,6,-33.2
22,Base-41b4968,1-0,0.0,4,11,7,-47.7
23,New-8ad2008,0-1,0.0,4,11,8,-61.0
24,Base-41b4968,0-1,1.0,5,11,8,-43.7
27,New-8ad2008,0-1,0.0,5,11,9,-56.1
26,Base-41b4968,1/2-1/2,0.5,5,12,9,-53.9
25,New-8ad2008,1-0,1.0,6,12,9,-38.8
28,Base-41b4968,1/2-1/2,0.5,6,13,9,-37.4
33,New-8ad2008,1/2-1/2,0.5,6,14,9,-36.1
30,Base-41b4968,0-1,1.0,7,14,9,-23.2
32,Base-41b4968,1/2-1/2,0.5,7,15,9,-22.4
29,New-8ad2008,1/2-1/2,0.5,7,16,9,-21.7
35,New-8ad2008,1-0,1.0,8,16,9,-10.5
34,Base-41b4968,1/2-1/2,0.5,8,17,9,-10.2
31,New-8ad2008,1-0,1.0,9,17,9,-0.0
39,New-8ad2008,1-0,1.0,10,17,9,9.7
38,Base-41b4968,0-1,1.0,11,17,9,18.8
40,Base-41b4968,1-0,0.0,11,17,10,9.1
