game,white,result,score,running_wins,running_draws,running_losses,running_elo
4,Base-2358a28,1-0,0.0,0,0,1,-1199.8
8,Base-2358a28,1/2-1/2,0.5,0,1,1,-190.8
6,Base-2358a28,1-0,0.0,0,1,2,-279.6
7,New-8396454,1-0,1.0,1,1,2,-88.7
2,Base-2358a28,1-0,0.0,1,1,3,-147.2
1,New-8396454,1-0,1.0,2,1,3,-58.5
5,New-8396454,1/2-1/2,0.5,2,2,3,-50.0
3,New-8396454,1-0,1.0,3,2,3,-0.0
9,New-8396454,1-0,1.0,4,2,3,38.8
12,Base-2358a28,1-0,0.0,4,2,4,-0.0
15,New-8396454,0-1,0.0,4,2,5,-31.7
11,New-8396454,1-0,1.0,5,2,5,-0.0
16,Base-2358a28,1/2-1/2,0.5,5,3,5,-0.0
13,New-8396454,0-1,0.0,5,3,6,-24.9
10,Base-2358a28,1/2-1/2,0.5,5,4,6,-23.2
14,Base-2358a28,1-0,0.0,5,4,7,-43.7
17,New-8396454,0-1,0.0,5,4,8,-62.0
21,New-8396454,0-1,0.0,5,4,9,-78.5
20,Base-2358a28,1/2-1/2,0.5,5,5,9,-74.3
18,Base-2358a28,0-1,1.0,6,5,9,-52.5
22,Base-2358a28,0-1,1.0,7,5,9,-33.2
19,New-8396454,1-0,1.0,8,5,9,-15.8
24,Base-2358a28,1/2-1/2,0.5,8,6,9,-15.1
23,New-8396454,0-1,0.0,8,6,10,-29.0
26,Base-2358a28,1/2-1/2,0.5,8,7,10,-27.9
25,New-8396454,0-1,0.0,8,7,11,-40.3
29,New-8396454,1/2-1/2,0.5,8,8,11,-38.8
27,New-8396454,1-0,1.0,9,8,11,-24.9
32,Base-2358a28,1-0,0.0,9,8,12,-36.1
30,Base-2358a28,0-1,1.0,10,8,12,-23.2
28,Base-2358a28,0-1,1.0,11,8,12,-11.2
31,New-8396454,1-0,1.0,12,8,12,-0.0
35,New-8396454,1/2-1/2,0.5,12,9,12,-0.0
33,New-8396454,1-0,1.0,13,9,12,10.2
34,Base-2358a28,1/2-1/2,0.5,13,10,12,9.9
36,Base-2358a28,0-1,1.0,14,10,12,19.3
37,New-8396454,1-0,1.0,15,10,12,28.2
38,Base-2358a28,1-0,0.0,15,10,13,18.3
39,New-8396454,0-1,0.0,15,10,14,8.9
40,Base-2358a28,1-0,0.0,15,10,15,-0.0
41,New-8396454,1-0,1.0,16,10,15,8.5
42,Base-2358a28,0-1,1.0,17,10,15,16.6
43,New-8396454,1/2-1/2,0.5,17,11,15,16.2
47,New-8396454,0-1,0.0,17,11,16,7.9
49,New-8396454,1-0,1.0,18,11,16,15.5
45,New-8396454,1-0,1.0,19,11,16,22.7
46,Base-2358a28,0-1,1.0,20,11,16,29.6
44,Base-2358a28,1/2-1/2,0.5,20,12,16,29.0
48,Base-2358a28,0-1,1.0,21,12,16,35.6
50,Base-2358a28,1/2-1/2,0.5,21,13,16,34.9
51,New-8396454,1-0,1.0,22,13,16,41.1
55,New-8396454,1/2-1/2,0.5,22,14,16,40.3
53,New-8396454,1/2-1/2,0.5,22,15,16,39.5
54,Base-2358a28,0-1,1.0,23,15,16,45.3
58,Base-2358a28,0-1,1.0,24,15,16,50.9
52,Base-2358a28,1/2-1/2,0.5,24,16,16,50.0
56,Base-2358a28,1-0,0.0,24,16,17,42.9
60,Base-2358a28,1-0,0.0,24,16,18,36.1
59,New-8396454,1-0,1.0,25,16,18,41.4
57,New-8396454,1/2-1/2,0.5,25,17,18,40.7
61,New-8396454,0-1,0.0,25,17,19,34.3
62,Base-2358a28,0-1,1.0,26,17,19,39.4
64,Base-2358a28,1/2-1/2,0.5,26,18,19,38.8
63,New-8396454,1/2-1/2,0.5,26,19,19,38.2
66,Base-2358a28,0-1,1.0,27,19,19,43.0
65,New-8396454,1/2-1/2,0.5,27,20,19,42.3
67,New-8396454,1-0,1.0,28,20,19,47.0
73,New-8396454,1/2-1/2,0.5,28,21,19,46.3
68,Base-2358a28,1/2-1/2,0.5,28,22,19,45.6
71,New-8396454,0-1,0.0,28,22,20,39.9
70,Base-2358a28,1-0,0.0,28,22,21,34.4
72,Base-2358a28,0-1,1.0,29,22,21,38.8
69,New-8396454,0-1,0.0,29,22,22,33.4
74,Base-2358a28,0-1,1.0,30,22,22,37.7
75,New-8396454,1-0,1.0,31,22,22,41.9
77,New-8396454,0-1,0.0,31,22,23,36.7
80,Base-2358a28,0-1,1.0,32,22,23,40.8
76,Base-2358a28,1/2-1/2,0.5,32,23,23,40.3
79,New-8396454,0-1,0.0,32,23,24,35.3
78,Base-2358a28,0-1,1.0,33,23,24,39.3
81,New-8396454,1/2-1/2,0.5,33,24,24,38.8
83,New-8396454,1-0,1.0,34,24,24,42.6
82,Base-2358a28,1-0,0.0,34,24,25,37.8
85,New-8396454,0-1,0.0,34,24,26,33.2
84,Base-2358a28,0-1,1.0,35,24,26,36.9
86,Base-2358a28,0-1,1.0,36,24,26,40.6
88,Base-2358a28,0-1,1.0,37,24,26,44.2
87,New-8396454,1-0,1.0,38,24,26,47.7
91,New-8396454,1-0,1.0,39,24,26,51.1
89,New-8396454,1-0,1.0,40,24,26,54.5
94,Base-2358a28,1-0,0.0,40,24,27,50.0
92,Base-2358a28,0-1,1.0,41,24,27,53.3
93,New-8396454,0-1,0.0,41,24,28,48.9
95,New-8396454,1-0,1.0,42,24,28,52.1
90,Base-2358a28,1/2-1/2,0.5,42,25,28,51.6
98,Base-2358a28,1/2-1/2,0.5,42,26,28,51.0
99,New-8396454,0-1,0.0,42,26,29,46.8
97,New-8396454,1/2-1/2,0.5,42,27,29,46.4
100,Base-2358a28,0-1,1.0,43,27,29,49.5
96,Base-2358a28,1-0,0.0,43,27,30,45.4
103,New-8396454,1-0,1.0,44,27,30,48.5
101,New-8396454,1/2-1/2,0.5,44,28,30,48.0
105,New-8396454,1-0,1.0,45,28,30,51.0
104,Base-2358a28,0-1,1.0,46,28,30,53.9
102,Base-2358a28,1-0,0.0,46,28,31,50.0
108,Base-2358a28,0-1,1.0,47,28,31,52.8
106,Base-2358a28,1/2-1/2,0.5,47,29,31,52.3
109,New-8396454,0-1,0.0,47,29,32,48.6
110,Base-2358a28,1-0,0.0,47,29,33,44.9
111,New-8396454,1-0,1.0,48,29,33,47.7
112,Base-2358a28,1-0,0.0,48,29,34,44.1
107,New-8396454,1/2-1/2,0.5,48,30,34,43.7
113,New-8396454,1-0,1.0,49,30,34,46.4
116,Base-2358a28,0-1,1.0,50,30,34,49.1
118,Base-2358a28,1/2-1/2,0.5,50,31,34,48.7
120,Base-2358a28,1-0,0.0,50,31,35,45.2
115,New-8396454,0-1,0.0,50,31,36,41.8
121,New-8396454,1-0,1.0,51,31,36,44.4
114,Base-2358a28,1/2-1/2,0.5,51,32,36,44.0
117,New-8396454,0-1,0.0,51,32,37,40.7
119,New-8396454,0-1,0.0,51,32,38,37.5
125,New-8396454,1/2-1/2,0.5,51,33,38,37.2
122,Base-2358a28,1/2-1/2,0.5,51,34,38,36.9
123,New-8396454,1/2-1/2,0.5,51,35,38,36.6
124,Base-2358a28,0-1,1.0,52,35,38,39.1
127,New-8396454,0-1,0.0,52,35,39,36.0
126,Base-2358a28,1-0,0.0,52,35,40,32.9
128,Base-2358a28,1/2-1/2,0.5,52,36,40,32.7
129,New-8396454,1-0,1.0,53,36,40,35.1
130,Base-2358a28,1-0,0.0,53,36,41,32.2
132,Base-2358a28,0-1,1.0,54,36,41,34.6
131,New-8396454,0-1,0.0,54,36,42,31.7
134,Base-2358a28,0-1,1.0,55,36,42,34.1
135,New-8396454,1/2-1/2,0.5,55,37,42,33.8
136,Base-2358a28,1/2-1/2,0.5,55,38,42,33.6
133,New-8396454,1/2-1/2,0.5,55,39,42,33.3
137,New-8396454,0-1,0.0,55,39,43,30.5
138,Base-2358a28,0-1,1.0,56,39,43,32.8
139,New-8396454,1-0,1.0,57,39,43,35.1
140,Base-2358a28,0-1,1.0,58,39,43,37.4
141,New-8396454,1-0,1.0,59,39,43,39.6
143,New-8396454,1/2-1/2,0.5,59,40,43,39.3
144,Base-2358a28,0-1,1.0,60,40,43,41.5
145,New-8396454,0-1,0.0,60,40,44,38.8
146,Base-2358a28,1-0,0.0,60,40,45,36.1
142,Base-2358a28,0-1,1.0,61,40,45,38.2
147,New-8396454,1/2-1/2,0.5,61,41,45,38.0
148,Base-2358a28,1/2-1/2,0.5,61,42,45,37.7
150,Base-2358a28,1-0,0.0,61,42,46,35.1
154,Base-2358a28,1/2-1/2,0.5,61,43,46,34.9
149,New-8396454,1/2-1/2,0.5,61,44,46,34.6
151,New-8396454,1-0,1.0,62,44,46,36.7
152,Base-2358a28,1-0,0.0,62,44,47,34.2
153,New-8396454,0-1,0.0,62,44,48,31.7
155,New-8396454,1-0,1.0,63,44,48,33.7
156,Base-2358a28,0-1,1.0,64,44,48,35.8
157,New-8396454,0-1,0.0,64,44,49,33.3
158,Base-2358a28,1/2-1/2,0.5,64,45,49,33.1
161,New-8396454,1/2-1/2,0.5,64,46,49,32.9
159,New-8396454,1-0,1.0,65,46,49,34.9
160,Base-2358a28,0-1,1.0,66,46,49,36.8
163,New-8396454,1-0,1.0,67,46,49,38.8
162,Base-2358a28,1/2-1/2,0.5,67,47,49,38.5
164,Base-2358a28,1/2-1/2,0.5,67,48,49,38.3
165,New-8396454,0-1,0.0,67,48,50,35.9
166,Base-2358a28,0-1,1.0,68,48,50,37.8
167,New-8396454,1-0,1.0,69,48,50,39.7
169,New-8396454,0-1,0.0,69,48,51,37.4
168,Base-2358a28,1-0,0.0,69,48,52,35.1
170,Base-2358a28,1-0,0.0,69,48,53,32.8
172,Base-2358a28,1/2-1/2,0.5,69,49,53,32.6
175,New-8396454,1/2-1/2,0.5,69,50,53,32.4
171,New-8396454,0-1,0.0,69,50,54,30.2
173,New-8396454,1/2-1/2,0.5,69,51,54,30.0
174,Base-2358a28,1-0,0.0,69,51,55,27.9
181,New-8396454,1-0,1.0,70,51,55,29.7
182,Base-2358a28,1/2-1/2,0.5,70,52,55,29.5
176,Base-2358a28,1/2-1/2,0.5,70,53,55,29.3
178,Base-2358a28,1/2-1/2,0.5,70,54,55,29.2
177,New-8396454,1/2-1/2,0.5,70,55,55,29.0
179,New-8396454,0-1,0.0,70,55,56,26.9
180,Base-2358a28,0-1,1.0,71,55,56,28.7
183,New-8396454,0-1,0.0,71,55,57,26.6
190,Base-2358a28,0-1,1.0,72,55,57,28.4
186,Base-2358a28,0-1,1.0,73,55,57,30.1
188,Base-2358a28,0-1,1.0,74,55,57,31.8
184,Base-2358a28,1/2-1/2,0.5,74,56,57,31.7
185,New-8396454,0-1,0.0,74,56,58,29.6
189,New-8396454,1-0,1.0,75,56,58,31.3
187,New-8396454,1/2-1/2,0.5,75,57,58,31.2
191,New-8396454,0-1,0.0,75,57,59,29.2
196,Base-2358a28,1/2-1/2,0.5,75,58,59,29.0
192,Base-2358a28,1/2-1/2,0.5,75,59,59,28.9
193,New-8396454,0-1,0.0,75,59,60,26.9
195,New-8396454,1-0,1.0,76,59,60,28.6
194,Base-2358a28,1/2-1/2,0.5,76,60,60,28.4
197,New-8396454,1-0,1.0,77,60,60,30.1
