game,white,result,score,running_wins,running_draws,running_losses,running_elo
6,Base-8d0ff77,1-0,0.0,0,0,1,-1199.8
3,New-90ba5a4,1/2-1/2,0.5,0,1,1,-190.8
4,Base-8d0ff77,0-1,1.0,1,1,1,-0.0
8,Base-8d0ff77,1-0,0.0,1,1,2,-88.7
7,New-90ba5a4,1-0,1.0,2,1,2,-0.0
5,New-90ba5a4,0-1,0.0,2,1,3,-58.5
2,Base-8d0ff77,1/2-1/2,0.5,2,2,3,-50.0
1,New-90ba5a4,1/2-1/2,0.5,2,3,3,-43.7
9,New-90ba5a4,0-1,0.0,2,3,4,-78.5
11,New-90ba5a4,0-1,0.0,2,3,5,-107.5
12,Base-8d0ff77,1/2-1/2,0.5,2,4,5,-97.2
10,Base-8d0ff77,1-0,0.0,2,4,6,-120.4
13,New-90ba5a4,0-1,0.0,2,4,7,-140.9
14,Base-8d0ff77,1-0,0.0,2,4,8,-159.2
15,New-90ba5a4,0-1,0.0,2,4,9,-175.7
16,Base-8d0ff77,0-1,1.0,3,4,9,-137.0
22,Base-8d0ff77,1/2-1/2,0.5,3,5,9,-128.1
17,New-90ba5a4,1-0,1.0,4,5,9,-99.1
19,New-90ba5a4,1-0,1.0,5,5,9,-74.3
18,Base-8d0ff77,1/2-1/2,0.5,5,6,9,-70.4
20,Base-8d0ff77,1/2-1/2,0.5,5,7,9,-67.0
21,New-90ba5a4,1-0,1.0,6,7,9,-47.7
23,New-90ba5a4,1-0,1.0,7,7,9,-30.3
24,Base-8d0ff77,0-1,1.0,8,7,9,-14.5
25,New-90ba5a4,1-0,1.0,9,7,9,-0.0
26,Base-8d0ff77,1/2-1/2,0.5,9,8,9,-0.0
31,New-90ba5a4,1/2-1/2,0.5,9,9,9,-0.0
28,Base-8d0ff77,1-0,0.0,9,9,10,-12.4
30,Base-8d0ff77,1/2-1/2,0.5,9,10,10,-12.0
27,New-90ba5a4,1/2-1/2,0.5,9,11,10,-11.6
29,New-90ba5a4,1-0,1.0,10,11,10,-0.0
33,New-90ba5a4,1-0,1.0,11,11,10,10.9
34,Base-8d0ff77,1-0,0.0,11,11,11,-0.0
32,Base-8d0ff77,1/2-1/2,0.5,11,12,11,-0.0
35,New-90ba5a4,0-1,0.0,11,12,12,-9.9
36,Base-8d0ff77,1/2-1/2,0.5,11,13,12,-9.7
37,New-90ba5a4,1-0,1.0,12,13,12,-0.0
38,Base-8d0ff77,1-0,0.0,12,13,13,-9.1
40,Base-8d0ff77,0-1,1.0,13,13,13,-0.0
39,New-90ba5a4,1/2-1/2,0.5,13,14,13,-0.0
42,Base-8d0ff77,0-1,1.0,14,14,13,8.5
45,New-90ba5a4,1-0,1.0,15,14,13,16.6
43,New-90ba5a4,1/2-1/2,0.5,15,15,13,16.2
44,Base-8d0ff77,1-0,0.0,15,15,14,7.9
46,Base-8d0ff77,1-0,0.0,15,15,15,-0.0
41,New-90ba5a4,1/2-1/2,0.5,15,16,15,-0.0
47,New-90ba5a4,0-1,0.0,15,16,16,-7.4
54,Base-8d0ff77,1-0,0.0,15,16,17,-14.5
48,Base-8d0ff77,1/2-1/2,0.5,15,17,17,-14.2
51,New-90ba5a4,1/2-1/2,0.5,15,18,17,-13.9
52,Base-8d0ff77,1/2-1/2,0.5,15,19,17,-13.6
50,Base-8d0ff77,1-0,0.0,15,19,18,-20.1
53,New-90ba5a4,0-1,0.0,15,19,19,-26.3
49,New-90ba5a4,1/2-1/2,0.5,15,20,19,-25.8
55,New-90ba5a4,1/2-1/2,0.5,15,21,19,-25.3
57,New-90ba5a4,0-1,0.0,15,21,20,-31.1
58,Base-8d0ff77,0-1,1.0,16,21,20,-24.4
56,Base-8d0ff77,1-0,0.0,16,21,21,-30.0
59,New-90ba5a4,1-0,1.0,17,21,21,-23.6
62,Base-8d0ff77,0-1,1.0,18,21,21,-17.4
