game,white,result,score,running_wins,running_draws,running_losses,running_elo
2,Base-f462400,1-0,0.0,0,0,1,-1199.8
1,New-8b830da,1/2-1/2,0.5,0,1,1,-190.8
7,New-8b830da,0-1,0.0,0,1,2,-279.6
3,New-8b830da,0-1,0.0,0,1,3,-338.0
5,New-8b830da,0-1,0.0,0,1,4,-381.7
6,Base-f462400,0-1,1.0,1,1,4,-190.8
8,Base-f462400,0-1,1.0,2,1,4,-102.1
4,Base-f462400,1-0,0.0,2,1,5,-137.0
11,New-8b830da,0-1,0.0,2,1,6,-166.0
10,Base-f462400,0-1,1.0,3,1,6,-107.5
9,New-8b830da,0-1,0.0,3,1,7,-132.4
15,New-8b830da,1/2-1/2,0.5,3,2,7,-120.4
16,Base-f462400,1-0,0.0,3,2,8,-140.9
12,Base-f462400,0-1,1.0,4,2,8,-102.1
14,Base-f462400,0-1,1.0,5,2,8,-70.4
13,New-8b830da,1-0,1.0,6,2,8,-43.7
17,New-8b830da,1/2-1/2,0.5,6,3,8,-41.1
19,New-8b830da,0-1,0.0,6,3,9,-58.5
18,Base-f462400,1-0,0.0,6,3,10,-74.3
20,Base-f462400,0-1,1.0,7,3,10,-52.5
22,Base-f462400,1-0,0.0,7,3,11,-67.0
21,New-8b830da,1/2-1/2,0.5,7,4,11,-63.9
23,New-8b830da,1/2-1/2,0.5,7,5,11,-61.0
24,Base-f462400,0-1,1.0,8,5,11,-43.7
26,Base-f462400,1-0,0.0,8,5,12,-56.1
25,New-8b830da,0-1,0.0,8,5,13,-67.7
27,New-8b830da,0-1,0.0,8,5,14,-78.5
29,New-8b830da,1-0,1.0,9,5,14,-62.7
30,Base-f462400,1/2-1/2,0.5,9,6,14,-60.5
31,New-8b830da,1-0,1.0,10,6,14,-46.6
32,Base-f462400,1/2-1/2,0.5,10,7,14,-45.1
28,Base-f462400,1-0,0.0,10,7,15,-54.7
36,Base-f462400,1/2-1/2,0.5,10,8,15,-53.1
33,New-8b830da,1-0,1.0,11,8,15,-41.1
34,Base-f462400,0-1,1.0,12,8,15,-29.9
35,New-8b830da,0-1,0.0,12,8,16,-38.8
38,Base-f462400,1-0,0.0,12,8,17,-47.2
37,New-8b830da,1-0,1.0,13,8,17,-36.7
42,Base-f462400,1/2-1/2,0.5,13,9,17,-35.8
40,Base-f462400,1/2-1/2,0.5,13,10,17,-34.9
41,New-8b830da,0-1,0.0,13,10,18,-42.6
39,New-8b830da,0-1,0.0,13,10,19,-50.0
43,New-8b830da,1/2-1/2,0.5,13,11,19,-48.8
47,New-8b830da,1/2-1/2,0.5,13,12,19,-47.7
49,New-8b830da,1-0,1.0,14,12,19,-38.8
45,New-8b830da,0-1,0.0,14,12,20,-45.6
46,Base-f462400,0-1,1.0,15,12,20,-37.1
44,Base-f462400,1/2-1/2,0.5,15,13,20,-36.3
48,Base-f462400,0-1,1.0,16,13,20,-28.4
50,Base-f462400,1-0,0.0,16,13,21,-34.9
55,New-8b830da,1/2-1/2,0.5,16,14,21,-34.2
54,Base-f462400,1/2-1/2,0.5,16,15,21,-33.5
52,Base-f462400,0-1,1.0,17,15,21,-26.3
