game,white,result,score,running_wins,running_draws,running_losses,running_elo
7,New-c74a786,1/2-1/2,0.5,0,1,0,-0.0
4,Base-f462400,1-0,0.0,0,1,1,-190.8
3,New-c74a786,1-0,1.0,1,1,1,-0.0
6,Base-f462400,0-1,1.0,2,1,1,88.7
8,Base-f462400,1-0,0.0,2,1,2,-0.0
5,New-c74a786,1/2-1/2,0.5,2,2,2,-0.0
2,Base-f462400,1/2-1/2,0.5,2,3,2,-0.0
1,New-c74a786,1-0,1.0,3,3,2,43.7
10,Base-f462400,1-0,0.0,3,3,3,-0.0
12,Base-f462400,1-0,0.0,3,3,4,-34.9
11,New-c74a786,0-1,0.0,3,3,5,-63.9
9,New-c74a786,1-0,1.0,4,3,5,-29.0
15,New-c74a786,0-1,0.0,4,3,6,-53.9
14,Base-f462400,0-1,1.0,5,3,6,-24.9
13,New-c74a786,0-1,0.0,5,3,7,-46.6
16,Base-f462400,1/2-1/2,0.5,5,4,7,-43.7
20,Base-f462400,1-0,0.0,5,4,8,-62.0
18,Base-f462400,1-0,0.0,5,4,9,-78.5
19,New-c74a786,0-1,0.0,5,4,10,-93.6
17,New-c74a786,1/2-1/2,0.5,5,5,10,-88.7
21,New-c74a786,1/2-1/2,0.5,5,6,10,-84.3
24,Base-f462400,1-0,0.0,5,6,11,-97.2
23,New-c74a786,1-0,1.0,6,6,11,-76.8
28,Base-f462400,1-0,0.0,6,6,12,-88.7
22,Base-f462400,1/2-1/2,0.5,6,7,12,-85.0
27,New-c74a786,0-1,0.0,6,7,13,-95.9
25,New-c74a786,1-0,1.0,7,7,13,-78.5
26,Base-f462400,0-1,1.0,8,7,13,-62.7
29,New-c74a786,0-1,0.0,8,7,14,-72.9
30,Base-f462400,1-0,0.0,8,7,15,-82.6
31,New-c74a786,1-0,1.0,9,7,15,-68.1
33,New-c74a786,0-1,0.0,9,7,16,-77.2
34,Base-f462400,1-0,0.0,9,7,17,-85.9
36,Base-f462400,1-0,0.0,9,7,18,-94.2
32,Base-f462400,1-0,0.0,9,7,19,-102.1
39,New-c74a786,1/2-1/2,0.5,9,8,19,-99.1
37,New-c74a786,1-0,1.0,10,8,19,-86.2
38,Base-f462400,1-0,0.0,10,8,20,-93.6
35,New-c74a786,1/2-1/2,0.5,10,9,20,-91.1
41,New-c74a786,0-1,0.0,10,9,21,-98.1
40,Base-f462400,0-1,1.0,11,9,21,-86.5
42,Base-f462400,0-1,1.0,12,9,21,-75.6
43,New-c74a786,0-1,0.0,12,9,22,-82.3
