game,white,result,score,running_wins,running_draws,running_losses,running_elo
3,688922a,1-0,1.0,1,0,0,1199.8
2,v4,1-0,0.0,1,0,1,-0.0
5,688922a,1-0,1.0,2,0,1,120.4
6,v4,1-0,0.0,2,0,2,-0.0
9,688922a,1-0,1.0,3,0,2,70.4
11,688922a,0-1,0.0,3,0,3,-0.0
7,688922a,0-1,0.0,3,0,4,-50.0
12,v4,0-1,1.0,4,0,4,-0.0
8,v4,0-1,1.0,5,0,4,38.8
15,688922a,1-0,1.0,6,0,4,70.4
16,v4,1/2-1/2,0.5,6,1,4,63.9
13,688922a,1-0,1.0,7,1,4,88.7
10,v4,1/2-1/2,0.5,7,2,4,81.6
4,v4,1/2-1/2,0.5,7,3,4,75.6
17,688922a,1-0,1.0,8,3,4,94.9
14,v4,1/2-1/2,0.5,8,4,4,88.7
19,688922a,1-0,1.0,9,4,4,105.3
20,v4,1-0,0.0,9,4,5,78.5
23,688922a,0-1,0.0,9,4,6,55.3
24,v4,1-0,0.0,9,4,7,34.9
18,v4,1/2-1/2,0.5,9,5,7,33.2
21,688922a,1-0,1.0,10,5,7,47.7
22,v4,1/2-1/2,0.5,10,6,7,45.6
1,688922a,0-1,0.0,10,6,8,29.0
28,v4,1-0,0.0,10,6,9,13.9
25,688922a,1-0,1.0,11,6,9,26.8
30,v4,0-1,1.0,12,6,9,38.8
27,688922a,1-0,1.0,13,6,9,50.0
31,688922a,1-0,1.0,14,6,9,60.5
32,v4,1-0,0.0,14,6,10,46.6
29,688922a,0-1,0.0,14,6,11,33.7
38,v4,1-0,0.0,14,6,12,21.7
26,v4,1/2-1/2,0.5,14,7,12,21.1
39,688922a,1-0,1.0,15,7,12,30.7
34,v4,1-0,0.0,15,7,13,19.9
37,688922a,1-0,1.0,16,7,13,29.0
35,688922a,1-0,1.0,17,7,13,37.7
36,v4,0-1,1.0,18,7,13,46.0
40,v4,0-1,1.0,19,7,13,53.9
43,688922a,1-0,1.0,20,7,13,61.4
33,688922a,1-0,1.0,21,7,13,68.7
48,v4,1-0,0.0,21,7,14,58.5
42,v4,0-1,1.0,22,7,14,65.4
41,688922a,1-0,1.0,23,7,14,72.1
47,688922a,1-0,1.0,24,7,14,78.5
44,v4,0-1,1.0,25,7,14,84.7
46,v4,0-1,1.0,26,7,14,90.7
45,688922a,1-0,1.0,27,7,14,96.5
49,688922a,0-1,0.0,27,7,15,86.9
50,v4,0-1,1.0,28,7,15,92.5
56,v4,1-0,0.0,28,7,16,83.3
52,v4,0-1,1.0,29,7,16,88.7
53,688922a,1-0,1.0,30,7,16,94.0
55,688922a,1-0,1.0,31,7,16,99.1
51,688922a,0-1,0.0,31,7,17,90.4
57,688922a,1-0,1.0,32,7,17,95.4
54,v4,1-0,0.0,32,7,18,87.1
61,688922a,0-1,0.0,32,7,19,79.2
58,v4,0-1,1.0,33,7,19,84.0
59,688922a,1-0,1.0,34,7,19,88.7
60,v4,0-1,1.0,35,7,19,93.3
65,688922a,1-0,1.0,36,7,19,97.8
67,688922a,1-0,1.0,37,7,19,102.1
69,688922a,0-1,0.0,37,7,20,94.6
62,v4,0-1,1.0,38,7,20,98.8
72,v4,0-1,1.0,39,7,20,102.9
64,v4,0-1,1.0,40,7,20,107.0
66,v4,0-1,1.0,41,7,20,110.9
71,688922a,0-1,0.0,41,7,21,103.7
68,v4,0-1,1.0,42,7,21,107.5
70,v4,0-1,1.0,43,7,21,111.3
74,v4,0-1,1.0,44,7,21,115.0
73,688922a,1-0,1.0,45,7,21,118.6
77,688922a,1-0,1.0,46,7,21,122.2
75,688922a,1-0,1.0,47,7,21,125.7
63,688922a,1/2-1/2,0.5,47,8,21,123.9
79,688922a,0-1,0.0,47,8,22,117.0
81,688922a,0-1,0.0,47,8,23,110.5
78,v4,1-0,0.0,47,8,24,104.2
82,v4,1-0,0.0,47,8,25,98.1
80,v4,1/2-1/2,0.5,47,9,25,96.8
85,688922a,1-0,1.0,48,9,25,100.1
84,v4,1-0,0.0,48,9,26,94.3
86,v4,1-0,0.0,48,9,27,88.7
83,688922a,1/2-1/2,0.5,48,10,27,87.7
92,v4,1-0,0.0,48,10,28,82.3
76,v4,0-1,1.0,49,10,28,85.6
87,688922a,1-0,1.0,50,10,28,88.7
91,688922a,0-1,0.0,50,10,29,83.6
89,688922a,1-0,1.0,51,10,29,86.7
95,688922a,0-1,0.0,51,10,30,81.6
94,v4,0-1,1.0,52,10,30,84.7
99,688922a,1-0,1.0,53,10,30,87.7
98,v4,0-1,1.0,54,10,30,90.7
96,v4,1-0,0.0,54,10,31,85.8
88,v4,1-0,0.0,54,10,32,81.1
97,688922a,1-0,1.0,55,10,32,84.0
90,v4,0-1,1.0,56,10,32,86.9
101,688922a,0-1,0.0,56,10,33,82.2
93,688922a,1-0,1.0,57,10,33,85.0
102,v4,1-0,0.0,57,10,34,80.5
105,688922a,1-0,1.0,58,10,34,83.3
103,688922a,1-0,1.0,59,10,34,86.0
104,v4,0-1,1.0,60,10,34,88.7
107,688922a,1-0,1.0,61,10,34,91.4
100,v4,0-1,1.0,62,10,34,94.0
110,v4,0-1,1.0,63,10,34,96.6
106,v4,1-0,0.0,63,10,35,92.2
115,688922a,0-1,0.0,63,10,36,87.9
108,v4,0-1,1.0,64,10,36,90.4
112,v4,1-0,0.0,64,10,37,86.2
109,688922a,1-0,1.0,65,10,37,88.7
113,688922a,1-0,1.0,66,10,37,91.2
114,v4,1/2-1/2,0.5,66,11,37,90.4
111,688922a,1-0,1.0,67,11,37,92.8
118,v4,1-0,0.0,67,11,38,88.7
123,688922a,0-1,0.0,67,11,39,84.8
122,v4,1-0,0.0,67,11,40,80.9
120,v4,1/2-1/2,0.5,67,12,40,80.2
117,688922a,1/2-1/2,0.5,67,13,40,79.5
119,688922a,1-0,1.0,68,13,40,81.9
116,v4,0-1,1.0,69,13,40,84.2
127,688922a,1-0,1.0,70,13,40,86.5
125,688922a,1-0,1.0,71,13,40,88.7
121,688922a,0-1,0.0,71,13,41,85.0
126,v4,1/2-1/2,0.5,71,14,41,84.3
129,688922a,1-0,1.0,72,14,41,86.6
134,v4,0-1,1.0,73,14,41,88.7
131,688922a,1-0,1.0,74,14,41,90.9
132,v4,1-0,0.0,74,14,42,87.3
135,688922a,0-1,0.0,74,14,43,83.8
130,v4,0-1,1.0,75,14,43,85.9
137,688922a,0-1,0.0,75,14,44,82.5
136,v4,0-1,1.0,76,14,44,84.6
138,v4,0-1,1.0,77,14,44,86.7
128,v4,1-0,0.0,77,14,45,83.3
141,688922a,0-1,0.0,77,14,46,80.0
124,v4,1/2-1/2,0.5,77,15,46,79.4
140,v4,1-0,0.0,77,15,47,76.2
133,688922a,1/2-1/2,0.5,77,16,47,75.6
142,v4,0-1,1.0,78,16,47,77.7
139,688922a,1-0,1.0,79,16,47,79.7
143,688922a,1-0,1.0,80,16,47,81.6
147,688922a,0-1,0.0,80,16,48,78.5
149,688922a,1-0,1.0,81,16,48,80.5
144,v4,1-0,0.0,81,16,49,77.4
148,v4,1-0,0.0,81,16,50,74.4
150,v4,0-1,1.0,82,16,50,76.3
155,688922a,1-0,1.0,83,16,50,78.2
152,v4,1-0,0.0,83,16,51,75.3
145,688922a,1/2-1/2,0.5,83,17,51,74.8
156,v4,0-1,1.0,84,17,51,76.6
151,688922a,1-0,1.0,85,17,51,78.5
153,688922a,1/2-1/2,0.5,85,18,51,78.0
160,v4,0-1,1.0,86,18,51,79.8
161,688922a,0-1,0.0,86,18,52,77.0
154,v4,1-0,0.0,86,18,53,74.1
157,688922a,1-0,1.0,87,18,53,76.0
159,688922a,1-0,1.0,88,18,53,77.8
162,v4,1-0,0.0,88,18,54,75.0
158,v4,0-1,1.0,89,18,54,76.8
165,688922a,1-0,1.0,90,18,54,78.5
166,v4,1-0,0.0,90,18,55,75.8
168,v4,0-1,1.0,91,18,55,77.5
169,688922a,1-0,1.0,92,18,55,79.3
163,688922a,1-0,1.0,93,18,55,81.0
167,688922a,1-0,1.0,94,18,55,82.7
146,v4,0-1,1.0,95,18,55,84.3
175,688922a,0-1,0.0,95,18,56,81.6
164,v4,0-1,1.0,96,18,56,83.3
170,v4,1/2-1/2,0.5,96,19,56,82.8
176,v4,0-1,1.0,97,19,56,84.4
172,v4,0-1,1.0,98,19,56,86.1
173,688922a,1-0,1.0,99,19,56,87.7
177,688922a,1-0,1.0,100,19,56,89.3
171,688922a,1/2-1/2,0.5,100,20,56,88.7
178,v4,0-1,1.0,101,20,56,90.3
174,v4,0-1,1.0,102,20,56,91.9
185,688922a,0-1,0.0,102,20,57,89.3
