game,white,result,score,running_wins,running_draws,running_losses,running_elo
4,v3,0-1,1.0,1,0,0,1199.8
3,d070260,1-0,1.0,2,0,0,1199.8
10,v3,1-0,0.0,2,0,1,120.4
1,d070260,1-0,1.0,3,0,1,190.8
2,v3,0-1,1.0,4,0,1,240.8
12,v3,0-1,1.0,5,0,1,279.6
6,v3,0-1,1.0,6,0,1,311.3
9,d070260,0-1,0.0,6,0,2,190.8
11,d070260,1-0,1.0,7,0,2,217.6
5,d070260,1-0,1.0,8,0,2,240.8
14,v3,0-1,1.0,9,0,2,261.3
15,d070260,1-0,1.0,10,0,2,279.6
17,d070260,1-0,1.0,11,0,2,296.1
13,d070260,1-0,1.0,12,0,2,311.3
8,v3,0-1,1.0,13,0,2,325.2
7,d070260,1-0,1.0,14,0,2,338.0
21,d070260,1-0,1.0,15,0,2,350.0
18,v3,0-1,1.0,16,0,2,361.2
22,v3,0-1,1.0,17,0,2,371.8
20,v3,0-1,1.0,18,0,2,381.7
19,d070260,1-0,1.0,19,0,2,391.1
23,d070260,1-0,1.0,20,0,2,400.0
16,v3,0-1,1.0,21,0,2,408.5
28,v3,0-1,1.0,22,0,2,416.6
29,d070260,1-0,1.0,23,0,2,424.3
25,d070260,1/2-1/2,0.5,23,1,2,389.3
31,d070260,1-0,1.0,24,1,2,396.5
33,d070260,1-0,1.0,25,1,2,403.4
24,v3,1/2-1/2,0.5,25,2,2,375.1
32,v3,0-1,1.0,26,2,2,381.7
27,d070260,0-1,0.0,26,2,3,331.7
26,v3,0-1,1.0,27,2,3,338.0
38,v3,0-1,1.0,28,2,3,344.1
39,d070260,1-0,1.0,29,2,3,350.0
35,d070260,1-0,1.0,30,2,3,355.7
36,v3,0-1,1.0,31,2,3,361.2
34,v3,1-0,0.0,31,2,4,322.5
30,v3,0-1,1.0,32,2,4,327.8
45,d070260,1-0,1.0,33,2,4,333.0
41,d070260,1/2-1/2,0.5,33,3,4,319.0
43,d070260,1-0,1.0,34,3,4,323.9
44,v3,0-1,1.0,35,3,4,328.8
48,v3,0-1,1.0,36,3,4,333.5
46,v3,0-1,1.0,37,3,4,338.0
51,d070260,1-0,1.0,38,3,4,342.5
42,v3,1/2-1/2,0.5,38,4,4,329.6
50,v3,1-0,0.0,38,4,5,302.8
47,d070260,1-0,1.0,39,4,5,307.1
55,d070260,1-0,1.0,40,4,5,311.3
37,d070260,1/2-1/2,0.5,40,5,5,301.3
40,v3,1/2-1/2,0.5,40,6,5,292.2
57,d070260,1-0,1.0,41,6,5,296.1
49,d070260,0-1,0.0,41,6,6,275.7
53,d070260,1-0,1.0,42,6,6,279.6
59,d070260,1-0,1.0,43,6,6,283.4
56,v3,0-1,1.0,44,6,6,287.1
58,v3,0-1,1.0,45,6,6,290.8
66,v3,0-1,1.0,46,6,6,294.4
62,v3,1-0,0.0,46,6,7,276.1
52,v3,0-1,1.0,47,6,7,279.6
63,d070260,0-1,0.0,47,6,8,263.0
65,d070260,1-0,1.0,48,6,8,266.5
67,d070260,1-0,1.0,49,6,8,269.8
60,v3,0-1,1.0,50,6,8,273.2
71,d070260,1-0,1.0,51,6,8,276.4
61,d070260,1-0,1.0,52,6,8,279.6
64,v3,0-1,1.0,53,6,8,282.7
75,d070260,1-0,1.0,54,6,8,285.8
68,v3,0-1,1.0,55,6,8,288.8
77,d070260,1-0,1.0,56,6,8,291.8
74,v3,0-1,1.0,57,6,8,294.7
72,v3,0-1,1.0,58,6,8,297.6
54,v3,0-1,1.0,59,6,8,300.4
70,v3,1-0,0.0,59,6,9,285.3
69,d070260,1-0,1.0,60,6,9,288.1
73,d070260,1-0,1.0,61,6,9,290.8
80,v3,0-1,1.0,62,6,9,293.5
82,v3,0-1,1.0,63,6,9,296.1
79,d070260,0-1,0.0,63,6,10,282.2
83,d070260,1-0,1.0,64,6,10,284.9
81,d070260,1-0,1.0,65,6,10,287.4
86,v3,0-1,1.0,66,6,10,290.0
87,d070260,1-0,1.0,67,6,10,292.5
84,v3,0-1,1.0,68,6,10,294.9
85,d070260,1-0,1.0,69,6,10,297.4
88,v3,0-1,1.0,70,6,10,299.8
89,d070260,1-0,1.0,71,6,10,302.1
76,v3,0-1,1.0,72,6,10,304.4
92,v3,0-1,1.0,73,6,10,306.7
94,v3,0-1,1.0,74,6,10,309.0
96,v3,0-1,1.0,75,6,10,311.3
90,v3,0-1,1.0,76,6,10,313.5
99,d070260,1-0,1.0,77,6,10,315.7
78,v3,1/2-1/2,0.5,77,7,10,310.2
91,d070260,1-0,1.0,78,7,10,312.3
97,d070260,0-1,0.0,78,7,11,299.9
100,v3,0-1,1.0,79,7,11,302.0
95,d070260,1-0,1.0,80,7,11,304.1
93,d070260,0-1,0.0,80,7,12,292.5
104,v3,0-1,1.0,81,7,12,294.6
103,d070260,1-0,1.0,82,7,12,296.7
102,v3,1-0,0.0,82,7,13,285.8
101,d070260,1-0,1.0,83,7,13,287.8
110,v3,0-1,1.0,84,7,13,289.8
107,d070260,1-0,1.0,85,7,13,291.8
109,d070260,1-0,1.0,86,7,13,293.7
105,d070260,0-1,0.0,86,7,14,283.5
113,d070260,1-0,1.0,87,7,14,285.4
98,v3,0-1,1.0,88,7,14,287.4
108,v3,0-1,1.0,89,7,14,289.2
106,v3,0-1,1.0,90,7,14,291.1
115,d070260,1-0,1.0,91,7,14,293.0
114,v3,0-1,1.0,92,7,14,294.8
117,d070260,0-1,0.0,92,7,15,285.1
116,v3,0-1,1.0,93,7,15,286.9
112,v3,0-1,1.0,94,7,15,288.7
111,d070260,1/2-1/2,0.5,94,8,15,285.0
122,v3,0-1,1.0,95,8,15,286.8
126,v3,0-1,1.0,96,8,15,288.5
119,d070260,1/2-1/2,0.5,96,9,15,284.9
121,d070260,1/2-1/2,0.5,96,10,15,281.3
123,d070260,1-0,1.0,97,10,15,283.0
125,d070260,1-0,1.0,98,10,15,284.7
120,v3,0-1,1.0,99,10,15,286.4
118,v3,1/2-1/2,0.5,99,11,15,282.9
127,d070260,1-0,1.0,100,11,15,284.6
133,d070260,1-0,1.0,101,11,15,286.2
135,d070260,1-0,1.0,102,11,15,287.9
130,v3,0-1,1.0,103,11,15,289.5
134,v3,0-1,1.0,104,11,15,291.1
129,d070260,1-0,1.0,105,11,15,292.6
131,d070260,1-0,1.0,106,11,15,294.2
142,v3,1-0,0.0,106,11,16,285.9
128,v3,1-0,0.0,106,11,17,278.0
132,v3,1-0,0.0,106,11,18,270.5
138,v3,0-1,1.0,107,11,18,272.0
141,d070260,1-0,1.0,108,11,18,273.6
143,d070260,1-0,1.0,109,11,18,275.1
140,v3,0-1,1.0,110,11,18,276.6
146,v3,1-0,0.0,110,11,19,269.4
137,d070260,1-0,1.0,111,11,19,270.9
147,d070260,1/2-1/2,0.5,111,12,19,268.1
136,v3,0-1,1.0,112,12,19,269.6
139,d070260,1-0,1.0,113,12,19,271.0
144,v3,1-0,0.0,113,12,20,264.2
149,d070260,1-0,1.0,114,12,20,265.7
150,v3,0-1,1.0,115,12,20,267.1
155,d070260,1-0,1.0,116,12,20,268.6
153,d070260,1-0,1.0,117,12,20,270.0
151,d070260,1-0,1.0,118,12,20,271.4
156,v3,1-0,0.0,118,12,21,264.8
157,d070260,0-1,0.0,118,12,22,258.5
159,d070260,1-0,1.0,119,12,22,259.9
148,v3,0-1,1.0,120,12,22,261.3
158,v3,1-0,0.0,120,12,23,255.2
152,v3,0-1,1.0,121,12,23,256.6
124,v3,1/2-1/2,0.5,121,13,23,254.3
164,v3,0-1,1.0,122,13,23,255.6
163,d070260,1-0,1.0,123,13,23,257.0
162,v3,0-1,1.0,124,13,23,258.3
161,d070260,1-0,1.0,125,13,23,259.6
145,d070260,1/2-1/2,0.5,125,14,23,257.4
165,d070260,1-0,1.0,126,14,23,258.7
160,v3,0-1,1.0,127,14,23,260.0
171,d070260,1-0,1.0,128,14,23,261.3
