game,white,result,score,running_wins,running_draws,running_losses,running_elo
3,dae542a,1-0,1.0,1,0,0,1199.8
4,54abca5,1/2-1/2,0.5,1,1,0,190.8
8,54abca5,0-1,1.0,2,1,0,279.6
1,dae542a,1-0,1.0,3,1,0,338.0
5,dae542a,1-0,1.0,4,1,0,381.7
6,54abca5,1/2-1/2,0.5,4,2,0,279.6
9,dae542a,1-0,1.0,5,2,0,311.3
2,54abca5,1-0,0.0,5,2,1,190.8
7,dae542a,0-1,0.0,5,2,2,120.4
12,54abca5,1/2-1/2,0.5,5,3,2,107.5
11,dae542a,1-0,1.0,6,3,2,132.4
10,54abca5,1-0,0.0,6,3,3,88.7
13,dae542a,1-0,1.0,7,3,3,110.5
17,dae542a,1/2-1/2,0.5,7,4,3,102.1
14,54abca5,1-0,0.0,7,4,4,70.4
15,dae542a,0-1,0.0,7,4,5,43.7
16,54abca5,0-1,1.0,8,4,5,62.0
18,54abca5,0-1,1.0,9,4,5,78.5
21,dae542a,1-0,1.0,10,4,5,93.6
26,54abca5,0-1,1.0,11,4,5,107.5
20,54abca5,1-0,0.0,11,4,6,84.3
23,dae542a,1-0,1.0,12,4,6,97.2
22,54abca5,0-1,1.0,13,4,6,109.2
25,dae542a,1-0,1.0,14,4,6,120.4
19,dae542a,1-0,1.0,15,4,6,130.9
30,54abca5,1-0,0.0,15,4,7,110.5
29,dae542a,1-0,1.0,16,4,7,120.4
24,54abca5,0-1,1.0,17,4,7,129.8
32,54abca5,1-0,0.0,17,4,8,111.5
28,54abca5,1-0,0.0,17,4,9,94.9
33,dae542a,1-0,1.0,18,4,9,103.9
31,dae542a,1/2-1/2,0.5,18,5,9,100.4
27,dae542a,1/2-1/2,0.5,18,6,9,97.2
38,54abca5,0-1,1.0,19,6,9,105.3
34,54abca5,0-1,1.0,20,6,9,113.0
39,dae542a,0-1,0.0,20,6,10,99.1
36,54abca5,0-1,1.0,21,6,10,106.5
35,dae542a,1/2-1/2,0.5,21,7,10,103.5
41,dae542a,1-0,1.0,22,7,10,110.5
42,54abca5,0-1,1.0,23,7,10,117.2
37,dae542a,0-1,0.0,23,7,11,104.8
40,54abca5,1-0,0.0,23,7,12,93.2
44,54abca5,0-1,1.0,24,7,12,99.6
43,dae542a,1/2-1/2,0.5,24,8,12,97.2
45,dae542a,0-1,0.0,24,8,13,86.7
49,dae542a,1-0,1.0,25,8,13,92.8
50,54abca5,0-1,1.0,26,8,13,98.7
48,54abca5,1/2-1/2,0.5,26,9,13,96.5
51,dae542a,1-0,1.0,27,9,13,102.1
46,54abca5,0-1,1.0,28,9,13,107.5
52,54abca5,0-1,1.0,29,9,13,112.8
54,54abca5,0-1,1.0,30,9,13,117.9
56,54abca5,1/2-1/2,0.5,30,10,13,115.5
55,dae542a,1-0,1.0,31,10,13,120.4
47,dae542a,1/2-1/2,0.5,31,11,13,118.0
57,dae542a,0-1,0.0,31,11,14,108.9
59,dae542a,1-0,1.0,32,11,14,113.6
60,54abca5,1/2-1/2,0.5,32,12,14,111.5
58,54abca5,1/2-1/2,0.5,32,13,14,109.5
61,dae542a,1-0,1.0,33,13,14,113.9
53,dae542a,1/2-1/2,0.5,33,14,14,111.9
63,dae542a,1/2-1/2,0.5,33,15,14,110.0
64,54abca5,1/2-1/2,0.5,33,16,14,108.1
62,54abca5,1/2-1/2,0.5,33,17,14,106.3
65,dae542a,1-0,1.0,34,17,14,110.5
68,54abca5,1-0,0.0,34,17,15,102.9
69,dae542a,1-0,1.0,35,17,15,107.0
66,54abca5,1-0,0.0,35,17,16,99.7
67,dae542a,1-0,1.0,36,17,16,103.7
75,dae542a,1-0,1.0,37,17,16,107.5
72,54abca5,1-0,0.0,37,17,17,100.6
76,54abca5,0-1,1.0,38,17,17,104.4
73,dae542a,0-1,0.0,38,17,18,97.7
71,dae542a,1-0,1.0,39,17,18,101.4
77,dae542a,1/2-1/2,0.5,39,18,18,100.0
70,54abca5,1/2-1/2,0.5,39,19,18,98.6
78,54abca5,0-1,1.0,40,19,18,102.1
74,54abca5,1/2-1/2,0.5,40,20,18,100.7
79,dae542a,0-1,0.0,40,20,19,94.6
83,dae542a,1-0,1.0,41,20,19,98.1
82,54abca5,0-1,1.0,42,20,19,101.4
85,dae542a,1-0,1.0,43,20,19,104.8
81,dae542a,1-0,1.0,44,20,19,108.0
88,54abca5,1-0,0.0,44,20,20,102.1
89,dae542a,1-0,1.0,45,20,20,105.3
80,54abca5,1-0,0.0,45,20,21,99.6
86,54abca5,1-0,0.0,45,20,22,94.1
84,54abca5,1/2-1/2,0.5,45,21,22,93.0
87,dae542a,1-0,1.0,46,21,22,96.1
91,dae542a,1-0,1.0,47,21,22,99.1
90,54abca5,1-0,0.0,47,21,23,93.8
92,54abca5,1/2-1/2,0.5,47,22,23,92.8
97,dae542a,1/2-1/2,0.5,47,23,23,91.7
93,dae542a,1-0,1.0,48,23,23,94.7
94,54abca5,1/2-1/2,0.5,48,24,23,93.6
95,dae542a,0-1,0.0,48,24,24,88.7
96,54abca5,1-0,0.0,48,24,25,84.0
100,54abca5,1-0,0.0,48,24,26,79.3
98,54abca5,0-1,1.0,49,24,26,82.2
101,dae542a,0-1,0.0,49,24,27,77.7
103,dae542a,1/2-1/2,0.5,49,25,27,76.9
99,dae542a,0-1,0.0,49,25,28,72.6
102,54abca5,1-0,0.0,49,25,29,68.3
104,54abca5,0-1,1.0,50,25,29,71.1
108,54abca5,1-0,0.0,50,25,30,67.0
107,dae542a,0-1,0.0,50,25,31,63.0
106,54abca5,0-1,1.0,51,25,31,65.7
105,dae542a,1/2-1/2,0.5,51,26,31,65.1
109,dae542a,1-0,1.0,52,26,31,67.8
111,dae542a,1-0,1.0,53,26,31,70.4
114,54abca5,1/2-1/2,0.5,53,27,31,69.8
117,dae542a,1-0,1.0,54,27,31,72.4
116,54abca5,1/2-1/2,0.5,54,28,31,71.7
113,dae542a,1-0,1.0,55,28,31,74.3
112,54abca5,1-0,0.0,55,28,32,70.4
110,54abca5,1/2-1/2,0.5,55,29,32,69.8
123,dae542a,1-0,1.0,56,29,32,72.3
118,54abca5,1-0,0.0,56,29,33,68.6
121,dae542a,0-1,0.0,56,29,34,65.0
120,54abca5,1/2-1/2,0.5,56,30,34,64.4
115,dae542a,0-1,0.0,56,30,35,60.9
119,dae542a,0-1,0.0,56,30,36,57.5
122,54abca5,1-0,0.0,56,30,37,54.1
126,54abca5,1/2-1/2,0.5,56,31,37,53.7
131,dae542a,1-0,1.0,57,31,37,56.1
124,54abca5,1-0,0.0,57,31,38,52.8
125,dae542a,0-1,0.0,57,31,39,49.6
129,dae542a,0-1,0.0,57,31,40,46.4
127,dae542a,1-0,1.0,58,31,40,48.8
132,54abca5,1/2-1/2,0.5,58,32,40,48.4
130,54abca5,0-1,1.0,59,32,40,50.7
128,54abca5,1-0,0.0,59,32,41,47.7
139,dae542a,1/2-1/2,0.5,59,33,41,47.3
133,dae542a,1-0,1.0,60,33,41,49.6
135,dae542a,1-0,1.0,61,33,41,51.9
134,54abca5,0-1,1.0,62,33,41,54.1
138,54abca5,0-1,1.0,63,33,41,56.3
140,54abca5,1/2-1/2,0.5,63,34,41,55.9
141,dae542a,1-0,1.0,64,34,41,58.0
143,dae542a,1-0,1.0,65,34,41,60.2
137,dae542a,0-1,0.0,65,34,42,57.2
136,54abca5,1-0,0.0,65,34,43,54.3
142,54abca5,1/2-1/2,0.5,65,35,43,53.9
145,dae542a,1-0,1.0,66,35,43,56.0
146,54abca5,0-1,1.0,67,35,43,58.0
150,54abca5,1-0,0.0,67,35,44,55.2
149,dae542a,0-1,0.0,67,35,45,52.4
144,54abca5,0-1,1.0,68,35,45,54.4
151,dae542a,1/2-1/2,0.5,68,36,45,54.1
147,dae542a,1/2-1/2,0.5,68,37,45,53.7
153,dae542a,1/2-1/2,0.5,68,38,45,53.3
