game,white,result,score,running_wins,running_draws,running_losses,running_elo
1,ee427ff,1/2-1/2,0.5,0,1,0,-0.0
7,ee427ff,1/2-1/2,0.5,0,2,0,-0.0
2,2a9c040,1-0,0.0,0,2,1,-120.4
5,ee427ff,0-1,0.0,0,2,2,-190.8
9,ee427ff,1-0,1.0,1,2,2,-70.4
3,ee427ff,0-1,0.0,1,2,3,-120.4
12,2a9c040,1-0,0.0,1,2,4,-159.2
10,2a9c040,0-1,1.0,2,2,4,-88.7
4,2a9c040,1-0,0.0,2,2,5,-120.4
11,ee427ff,1-0,1.0,3,2,5,-70.4
8,2a9c040,1/2-1/2,0.5,3,3,5,-63.9
13,ee427ff,1-0,1.0,4,3,5,-29.0
20,2a9c040,1-0,0.0,4,3,6,-53.9
15,ee427ff,1-0,1.0,5,3,6,-24.9
14,2a9c040,1-0,0.0,5,3,7,-46.6
6,2a9c040,0-1,1.0,6,3,7,-21.7
19,ee427ff,1-0,1.0,7,3,7,-0.0
16,2a9c040,0-1,1.0,8,3,7,19.3
21,ee427ff,1/2-1/2,0.5,8,4,7,18.3
22,2a9c040,1-0,0.0,8,4,8,-0.0
18,2a9c040,0-1,1.0,9,4,8,16.6
17,ee427ff,1/2-1/2,0.5,9,5,8,15.8
23,ee427ff,1/2-1/2,0.5,9,6,8,15.1
26,2a9c040,1-0,0.0,9,6,9,-0.0
24,2a9c040,1/2-1/2,0.5,9,7,9,-0.0
29,ee427ff,1/2-1/2,0.5,9,8,9,-0.0
28,2a9c040,1-0,0.0,9,8,10,-12.9
35,ee427ff,0-1,0.0,9,8,11,-24.9
36,2a9c040,0-1,1.0,10,8,11,-12.0
31,ee427ff,1/2-1/2,0.5,10,9,11,-11.6
30,2a9c040,0-1,1.0,11,9,11,-0.0
33,ee427ff,1-0,1.0,12,9,11,10.9
27,ee427ff,1/2-1/2,0.5,12,10,11,10.5
25,ee427ff,0-1,0.0,12,10,12,-0.0
32,2a9c040,0-1,1.0,13,10,12,9.9
34,2a9c040,1/2-1/2,0.5,13,11,12,9.7
39,ee427ff,1/2-1/2,0.5,13,12,12,9.4
43,ee427ff,0-1,0.0,13,12,13,-0.0
37,ee427ff,1/2-1/2,0.5,13,13,13,-0.0
38,2a9c040,0-1,1.0,14,13,13,8.7
45,ee427ff,0-1,0.0,14,13,14,-0.0
41,ee427ff,1-0,1.0,15,13,14,8.3
44,2a9c040,1-0,0.0,15,13,15,-0.0
42,2a9c040,0-1,1.0,16,13,15,7.9
50,2a9c040,1-0,0.0,16,13,16,-0.0
53,ee427ff,0-1,0.0,16,13,17,-7.6
52,2a9c040,1/2-1/2,0.5,16,14,17,-7.4
40,2a9c040,1/2-1/2,0.5,16,15,17,-7.2
47,ee427ff,1/2-1/2,0.5,16,16,17,-7.1
51,ee427ff,0-1,0.0,16,16,18,-13.9
49,ee427ff,1/2-1/2,0.5,16,17,18,-13.6
48,2a9c040,1/2-1/2,0.5,16,18,18,-13.4
46,2a9c040,0-1,1.0,17,18,18,-6.6
58,2a9c040,1/2-1/2,0.5,17,19,18,-6.4
55,ee427ff,1-0,1.0,18,19,18,-0.0
61,ee427ff,1-0,1.0,19,19,18,6.2
60,2a9c040,0-1,1.0,20,19,18,12.2
54,2a9c040,1-0,0.0,20,19,19,6.0
56,2a9c040,0-1,1.0,21,19,19,11.8
57,ee427ff,1-0,1.0,22,19,19,17.4
59,ee427ff,1/2-1/2,0.5,22,20,19,17.1
65,ee427ff,1-0,1.0,23,20,19,22.4
63,ee427ff,1-0,1.0,24,20,19,27.6
69,ee427ff,1/2-1/2,0.5,24,21,19,27.2
67,ee427ff,1-0,1.0,25,21,19,32.2
66,2a9c040,1-0,0.0,25,21,20,26.4
72,2a9c040,1/2-1/2,0.5,25,22,20,26.0
62,2a9c040,1/2-1/2,0.5,25,23,20,25.6
70,2a9c040,0-1,1.0,26,23,20,30.3
68,2a9c040,1-0,0.0,26,23,21,24.9
73,ee427ff,0-1,0.0,26,23,22,19.6
75,ee427ff,1/2-1/2,0.5,26,24,22,19.3
64,2a9c040,1/2-1/2,0.5,26,25,22,19.1
79,ee427ff,0-1,0.0,26,25,23,14.1
74,2a9c040,1-0,0.0,26,25,24,9.3
77,ee427ff,0-1,0.0,26,25,25,4.6
76,2a9c040,0-1,1.0,27,25,25,9.0
84,2a9c040,1-0,0.0,27,25,26,4.5
81,ee427ff,1-0,1.0,28,25,26,8.8
71,ee427ff,1/2-1/2,0.5,28,26,26,8.7
83,ee427ff,1-0,1.0,29,26,26,12.9
78,2a9c040,1/2-1/2,0.5,29,27,26,12.7
85,ee427ff,0-1,0.0,29,27,27,8.4
87,ee427ff,0-1,0.0,29,27,28,4.1
82,2a9c040,1-0,0.0,29,27,29,-0.0
80,2a9c040,1/2-1/2,0.5,29,28,29,-0.0
90,2a9c040,1-0,0.0,29,28,30,-4.0
86,2a9c040,1-0,0.0,29,28,31,-7.9
