timestamp,test_label,base_label,test_commit,base_commit,elo0,elo1,alpha,beta,st,tc,games,wins,draws,losses,score_rate,elo_diff,llr,result
2026-06-05 17:11:19,v2,v1,cc2cdf6,a260fa0,0.0,5.0,0.05,0.05,0.5,,351,248,37,66,0.7593,199.5,0.0,H1_ACCEPTED
2026-06-05 19:35:43,v3,v2,688922a,cc2cdf6,0.0,5.0,0.05,0.05,0.5,,821,448,109,264,0.6121,79.2,0.0,H1_ACCEPTED
2026-06-06 22:20:19,ee427ff,2a9c040,ee427ff,2a9c040,-5.0,20.0,0.2,0.2,0.5,,184,54,67,63,0.4755,-17.0,0.0,H0_ACCEPTED
2026-07-06 21:34:08,d070260,v3,a8720bc,688922a,0.0,5.0,0.05,0.05,0.5,,342,233,49,60,0.7529,193.6,0.0,H1_ACCEPTED
2026-07-21 05:17:15,v4,v3,55453cf,688922a,0.0,5.0,0.05,0.05,0.5,,175,147,22,6,0.9029,387.3,0.0,H1_ACCEPTED
2026-08-11 14:29:54,dae542a,54abca5,dae542a,54abca5,0.0,5.0,0.05,0.05,0.5,,714,341,187,186,0.6085,76.6,0.0,H1_ACCEPTED
2026-08-26 08:58:47,NNUE-3c5166f,HCE-3c5166f,3c5166f,3c5166f,0.0,20.0,0.05,0.05,0.2,,31,24,7,0,0.8871,358.1,0.0,H1_ACCEPTED
2026-08-26 09:15:18,NNUE-3c5166f,HCE-3c5166f,3c5166f,3c5166f,0.0,5.0,0.05,0.05,0.5,,169,152,14,3,0.9408,480.6,0.0,H1_ACCEPTED
2026-08-31 19:42:19,New-8ad2008,Base-41b4968,8ad2008,41b4968,0.0,5.0,0.05,0.05,,10+0.1,2000,750,565,685,0.5162,11.3,0.0,INCONCLUSIVE
2026-09-01 00:03:18,New-8ad2008,Base-41b4968,8ad2008,41b4968,0.0,5.0,0.05,0.05,,10+0.1,3136,1242,826,1068,0.5277,19.3,0.0,H1_ACCEPTED
2026-09-01 12:29:18,v5,v4,12db518,6f629f3,0.0,5.0,0.05,0.05,0.5,,144,125,17,2,0.9271,441.7,0.0,H1_ACCEPTED
2026-09-08 12:59:34,New-8396454,Base-2358a28,8396454,2358a28,0.0,5.0,0.05,0.05,,10+0.1,10085,3783,2741,3561,0.511,7.6,0.0,H1_ACCEPTED
2026-09-10 02:21:50,New-90ba5a4,Base-8d0ff77,90ba5a4,8d0ff77,0.0,5.0,0.05,0.05,,10+0.1,6130,2332,1660,2138,0.5158,11.0,0.0,H1_ACCEPTED
2026-09-10 11:22:56,New-8b830da,Base-f462400,8b830da,f462400,0.0,5.0,0.05,0.05,,10+0.1,1211,367,338,506,0.4426,-40.1,0.0,H0_ACCEPTED
