game,white,result,score,running_wins,running_draws,running_losses,running_elo
7,v4,1-0,1.0,1,0,0,1199.8
1,v4,1-0,1.0,2,0,0,1199.8
8,v3,0-1,1.0,3,0,0,1199.8
10,v3,0-1,1.0,4,0,0,1199.8
5,v4,1-0,1.0,5,0,0,1199.8
2,v3,0-1,1.0,6,0,0,1199.8
3,v4,1-0,1.0,7,0,0,1199.8
12,v3,0-1,1.0,8,0,0,1199.8
4,v3,0-1,1.0,9,0,0,1199.8
9,v4,1-0,1.0,10,0,0,1199.8
14,v3,0-1,1.0,11,0,0,1199.8
13,v4,1-0,1.0,12,0,0,1199.8
6,v3,0-1,1.0,13,0,0,1199.8
16,v3,0-1,1.0,14,0,0,1199.8
11,v4,1-0,1.0,15,0,0,1199.8
17,v4,1-0,1.0,16,0,0,1199.8
18,v3,0-1,1.0,17,0,0,1199.8
15,v4,0-1,0.0,17,0,1,492.2
22,v3,0-1,1.0,18,0,1,502.1
25,v4,1-0,1.0,19,0,1,511.5
23,v4,1-0,1.0,20,0,1,520.4
26,v3,0-1,1.0,21,0,1,528.9
24,v3,0-1,1.0,22,0,1,537.0
27,v4,1-0,1.0,23,0,1,544.7
21,v4,1-0,1.0,24,0,1,552.1
19,v4,1-0,1.0,25,0,1,559.2
20,v3,0-1,1.0,26,0,1,566.0
29,v4,1-0,1.0,27,0,1,572.5
30,v3,0-1,1.0,28,0,1,578.9
32,v3,0-1,1.0,29,0,1,585.0
31,v4,1-0,1.0,30,0,1,590.8
33,v4,1-0,1.0,31,0,1,596.5
36,v3,0-1,1.0,32,0,1,602.1
35,v4,1-0,1.0,33,0,1,607.4
40,v3,0-1,1.0,34,0,1,612.6
34,v3,0-1,1.0,35,0,1,617.6
39,v4,1-0,1.0,36,0,1,622.5
37,v4,1-0,1.0,37,0,1,627.3
41,v4,1-0,1.0,38,0,1,631.9
42,v3,0-1,1.0,39,0,1,636.4
28,v3,1-0,0.0,39,0,2,516.0
38,v3,0-1,1.0,40,0,2,520.4
45,v4,1-0,1.0,41,0,2,524.7
43,v4,1/2-1/2,0.5,41,1,2,488.0
44,v3,0-1,1.0,42,1,2,492.2
50,v3,0-1,1.0,43,1,2,496.2
51,v4,1-0,1.0,44,1,2,500.2
46,v3,0-1,1.0,45,1,2,504.0
48,v3,0-1,1.0,46,1,2,507.8
52,v3,0-1,1.0,47,1,2,511.5
49,v4,1-0,1.0,48,1,2,515.1
59,v4,1-0,1.0,49,1,2,518.7
54,v3,0-1,1.0,50,1,2,522.1
47,v4,1-0,1.0,51,1,2,525.5
56,v3,1/2-1/2,0.5,51,2,2,495.6
57,v4,1-0,1.0,52,2,2,498.9
58,v3,0-1,1.0,53,2,2,502.1
53,v4,1-0,1.0,54,2,2,505.3
